result,play,increment_code,rating_adv,ECO,opening_ply,first_move,second_move,third_move,fourth_move,fifth_move,sixth_move,seventh_move,eighth_move,ninth_move,tenth_move
Time forfeit,Blitz,300+0,-28,C36,"King's Gambit Accepted,Modern Defense",e4,e5,f4,d5,Nf3,exf4,e5,g5,h4,g4
Time forfeit,Blitz,180+0,-28,C36,"King's Gambit Accepted,Abbazia Defense",e4,e5,f4,exf4,Nf3,d5,exd5,Nf6,c4,Bg4
Time forfeit,Blitz,180+2,-28,A49,"Indian Game: King's Indian Variation,Fianchetto Variation",c4,Nf6,g3,g6,Bg2,Bg7,d4,O-O,Nc3,d6
Time forfeit,Blitz,180+0,-28,A07,King's Indian Attack,Nf3,d5,g3,Nc6,Bg2,e5,O-O,e4,Ne1,Nf6
Time forfeit,Blitz,180+0,-28,B23,Sicilian Defense: Closed #2,e4,c5,Nc3,e6,g3,Nf6,Bg2,d5,d3,Nc6
Time forfeit,Blitz,180+0,-28,A40,Modern Defense,d4,g6,Nf3,Bg7,Bf4,d6,e3,Nf6,h3,O-O
Time forfeit,Blitz,180+0,-28,C00,French Defense: Wing Gambit,e4,e6,Nf3,d5,e5,c5,b4,cxb4,a3,bxa3
Time forfeit,Blitz,180+0,-28,A42,Sicilian Defense: Hyperaccelerated Fianchetto,e4,c5,Nf3,g6,d4,cxd4,Nxd4,Bg7,Be3,Nc6
Time forfeit,Blitz,300+0,-28,C44,Scotch Game: Scotch Gambit,e4,e5,Nf3,Nc6,d4,exd4,Bc4,d6,Nxd4,Nxd4
Time forfeit,Blitz,180+0,-28,C53,"Italian Game: Giuoco Piano,Eisinger Variation",e4,e5,Nf3,Nc6,Bc4,Bc5,c3,Qe7,d4,Bb6
Time forfeit,Classical,600+0,-28,B30,Sicilian Defense: Old Sicilian,e4,c5,Nf3,Nc6,Bc4,e6,c3,d5,exd5,exd5
Time forfeit,Classical,600+0,-28,B30,Sicilian Defense: Old Sicilian,e4,c5,Nf3,Nc6,d3,d6,Nc3,Nf6,Be3,Ng4
Time forfeit,Blitz,180+0,-28,C42,Russian Game: Three Knights Game,e4,e5,Nf3,Nf6,Nc3,Bb4,Nd5,Nxd5,exd5,e4
Time forfeit,Blitz,180+0,-28,C00,French Defense: Chigorin Variation,e4,e6,Qe2,d5,exd5,Qxd5,Nc3,Qd8,d4,Nf6
Normal,Blitz,180+0,-29,B02,Alekhine Defense: John Tracy Gambit,Nf3,Nf6,e4,g6,d3,d6,Be2,Bg7,O-O,O-O 
Normal,Classical,300+5,-29,B21,Sicilian Defense: McDonnell Attack,e4,c5,f4,e6,g3,g6,d3,Bg7,Nf3,Nc6 
Normal,Blitz,300+0,-29,A46,Indian Game: Wade-Tartakower Defense,d4,Nf6,Nf3,d6,Bg5,c6,Bxf6,exf6,c3,g6 
Normal,Classical,900+5,-29,D00,Queen's Pawn Game: Stonewall Attack,d4,d5,e3,Nf6,Bd3,e6,Nd2,c5,c3,Nc6 
Normal,Classical,2700+0,-29,D00,Queen's Pawn Game,d4,d5,b3,Nf6,e3,Bf5,Bb2,e6,Nf3,h6 
Normal,Blitz,300+0,-29,B01,Scandinavian Defense: Gubinsky-Melts Defense,e4,d5,exd5,Qxd5,Nc3,Qd6,Nf3,Nf6,g3,c6 
Normal,Blitz,180+0,-29,B51,Sicilian Defense: Canal-Sokolsky Attack,e4,c5,Nf3,d6,Bb5,Nc6,O-O,Bd7,Re1,a6 
Normal,Classical,900+0,-29,C40,King's Pawn Game: Damiano Defense,e4,e5,Nf3,f6,Nxe5,fxe5,Qh5,Ke7,Qxe5,Kf7 
Normal,Classical,600+0,-29,B02,Alekhine Defense: Normal Variation,e4,Nf6,e5,Nd5,Nf3,d6,exd6,exd6,d4,Bg4 
Normal,Classical,600+5,-29,B33,Sicilian Defense: Open,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,Nc3,a6 
Normal,Blitz,180+2,-29,C45,Scotch Game: Schmidt Variation,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Nf6,Nc3,Bb4 
Normal,Blitz,180+0,-29,A04,Zukertort Opening: Pirc Invitation,Nf3,d6,b3,e5,Bb2,f5,e3,Nf6,Bc4,c6
Normal,Blitz,300+0,-29,B20,Sicilian Defense: Snyder Variation,e4,c5,b3,Nf6,Bb2,Nxe4,Qe2,Nf6,Nc3,d5
Normal,Classical,420+8,-29,B20,Sicilian Defense: Wing Gambit,e4,c5,b4,cxb4,d4,Nf6,Bd3,d5,e5,Ne4
Normal,Classical,600+0,-29,A01,Nimzo-Larsen Attack: Classical Variation,b3,d5,Bb2,Nc6,g3,e5,Bg2,Nf6,e3,Be7
Normal,Classical,600+5,-29,B20,Sicilian Defense: Bowdler Attack,e4,c5,Bc4,d6,d3,Nf6,Nc3,a6,a3,e6
Normal,Blitz,180+1,-29,A00,Hungarian Opening: Sicilian Invitation,g3,c5,Bg2,Nf6,e3,e6,Ne2,d5,d4,Nc6
Normal,Blitz,300+0,-29,A45,Trompowsky Attack,d4,Nf6,Bg5,c5,Bxf6,gxf6,d5,Qb6,Qc1,d6
Normal,Blitz,180+0,-29,A41,Modern Defense,d4,g6,c4,Bg7,Nc3,d6,Nf3,a6,g3,Nc6
Normal,Blitz,180+0,-29,A42,Modern Defense: Averbakh Variation,d4,g6,c4,Bg7,Nc3,d6,e4,c6,Bg5,Nd7
Normal,Blitz,180+0,-29,D10,Slav Defense #3,d4,d5,c4,c6,Nc3,dxc4,a4,Nf6,e4,Bg4
Normal,Blitz,300+0,-29,D10,Slav Defense #2,d4,d5,c4,c6,Nc3,Nf6,a4,Bf5,f3,e6
Normal,Blitz,300+0,-29,D43,Semi-Slav Defense,d4,d5,c4,c6,Nc3,Nf6,Nf3,e6,cxd5,exd5
Normal,Classical,600+0,-29,D35,Queen's Gambit Declined: Harrwitz Attack,d4,e6,c4,d5,Bf4,Nf6,Nc3,a6,e3,c5
Normal,Classical,480+0,-29,D25,Queen's Gambit Accepted: Janowski-Larsen Variation,d4,d5,c4,dxc4,Nf3,Nf6,e3,Bg4,Bxc4,Nc6
Normal,Blitz,180+0,-29,A51,Indian Game: Budapest Defense,d4,Nf6,c4,e5,d5,c6,Nc3,cxd5,Nxd5,Nxd5
Normal,Blitz,180+0,-29,A28,"English Opening: Four Knights System,Nimzowitsch Variation",Nf3,Nc6,c4,e5,Nc3,Nf6,e4,g6,d3,Bg7
Normal,Blitz,180+0,-29,D35,"Queen's Gambit Declined: Exchange Variation,Positional Variation #2",d4,Nf6,c4,e6,Nc3,d5,cxd5,exd5,Bg5,Be7
Normal,Classical,480+0,-29,D55,"Queen's Gambit Declined: Modern Variation,Normal Line",d4,d5,c4,e6,Nc3,Nf6,Bg5,Be7,Nf3,O-O
Normal,Classical,480+0,-29,D85,Gruenfeld Defense: Exchange Variation,d4,Nf6,c4,g6,Nc3,d5,cxd5,Nxd5,e4,Nxc3
Normal,Blitz,300+0,-29,A85,Dutch Defense: Queen's Knight Variation,d4,f5,c4,Nf6,Nc3,g6,Nf3,Bg7,g3,O-O
Normal,Blitz,300+0,-29,B00,Owen Defense,e4,b6,d4,Bb7,Nc3,d6,Bd3,Nd7,Nf3,e6
Normal,Blitz,180+0,-29,D02,Queen's Pawn Game: Zukertort Variation,Nf3,d5,d4,c6,g3,Bg4,Bg2,Bxf3,Bxf3,Nd7
Normal,Blitz,180+0,-29,B21,Sicilian Defense: Smith-Morra Gambit #2,e4,c5,d4,cxd4,Qxd4,Nc6,Qa4,a6,Nc3,d6
Normal,Blitz,300+0,-29,B21,"Sicilian Defense: Morphy Gambit,Andreaschek Gambit",e4,c5,d4,cxd4,c3,e5,Nf3,Nc6,cxd4,exd4
Normal,Blitz,180+0,-29,B22,"Sicilian Defense: Alapin Variation,Smith-Morra Declined",e4,c5,d4,cxd4,c3,Nf6,e5,Nd5,Qxd4,e6
Normal,Blitz,180+0,-29,B18,Caro-Kann Defense: Classical Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Bf5,Ng3,Bg6
Normal,Blitz,300+0,-29,C05,"French Defense: Tarrasch Variation,Closed Variation",e4,e6,d4,d5,Nd2,Nf6,Bd3,c5,exd5,exd5
Normal,Blitz,180+0,-29,C11,"French Defense: Classical Variation,Steinitz Variation",e4,e6,d4,d5,Nc3,Nf6,e5,Nfd7,h4,c5
Normal,Blitz,180+0,-29,D11,Slav Defense: Modern Line,c4,c6,d4,d5,Nf3,f6,Nc3,e6,e4,Bb4
Normal,Blitz,180+2,-29,B12,"Caro-Kann Defense: Advance Variation,Short Variation",e4,c6,d4,d5,e5,Bf5,Nf3,e6,c4,dxc4
Normal,Blitz,300+3,-29,C11,"French Defense: Classical Variation,Steinitz Variation",e4,e6,d4,d5,Nc3,Nf6,e5,Nfd7,Nce2,c5
Normal,Blitz,180+0,-29,C02,"French Defense: Advance Variation,Paulsen Attack",e4,e6,d4,d5,e5,c5,c3,Nc6,Nf3,Qb6
Normal,Blitz,180+2,-29,B12,Caro-Kann Defense: Maroczy Variation,e4,c6,d4,d5,f3,e6,Nc3,Bb4,Be3,Ne7
Normal,Classical,900+10,-29,B17,Caro-Kann Defense: Karpov Variation,e4,c6,d4,d5,Nc3,dxe4,Nxe4,Nd7,Nf3,Ngf6
Normal,Blitz,180+0,-29,B07,King's Pawn Game: Maroczy Defense,e4,d6,d4,e5,Nc3,Nc6,Nf3,g6,dxe5,Nxe5
Normal,Classical,1200+0,-29,C21,Center Game: von der Lasa Gambit,e4,e5,d4,exd4,Bc4,Qe7,Ne2,Qb4,c3,dxc3
Normal,Blitz,180+0,-29,A00,Van Geet Opening,Nc3,d5,e4,d4,Nce2,e5,Ng3,Be6,Nf3,Bd6
Normal,Blitz,180+0,-29,C32,"King's Gambit,Falkbeer Countergambit,Charousek Gambit Accepted",f4,e5,e4,d5,exd5,e4,d3,Nf6,dxe4,Nxe4
Normal,Classical,600+0,-29,A02,Bird Opening,f4,c6,e4,d5,e5,Bf5,d4,e6,Nf3,Nd7
Normal,Blitz,300+3,-29,B01,Scandinavian Defense,e4,d5,exd5,e6,Bb5,c6,dxc6,bxc6,Ba4,Bc5
Normal,Blitz,300+0,-29,B01,Scandinavian Defense: Main Line,e4,d5,exd5,Qxd5,Nc3,Qa5,Nf3,c6,d4,Nf6
Normal,Classical,600+0,-29,C35,"King's Gambit Accepted,Cunningham Defense,Bertin Gambit",e4,e5,f4,exf4,Nf3,Be7,Bc4,Bh4,g3,fxg3
Normal,Blitz,180+0,-29,A08,King's Indian Attack,Nf3,d5,g3,Nf6,Bg2,Bf5,Nh4,Bg6,Nxg6,hxg6
Normal,Blitz,240+1,-29,B06,Modern Defense,e4,g6,h4,Bg7,h5,Nc6,c3,d5,exd5,Qxd5
Normal,Blitz,180+2,-29,B20,Sicilian Defense: Kronberger Variation,e4,c5,Na3,Nc6,Bb5,g6,Nf3,Bg7,O-O,d6
Normal,Classical,540+0,-29,C10,French Defense: Rubinstein Variation,e4,e6,Nc3,d5,d4,dxe4,Nxe4,Nf6,Bg5,Be7
Normal,Blitz,180+0,-29,A10,English Opening: Anglo-Dutch Defense,c4,f5,Nc3,e5,g3,Nf6,Bg2,d6,e3,Be7
Normal,Blitz,300+0,-29,A10,English Opening,c4,f6,Nc3,e5,g3,Ne7,Bg2,Ng6,d3,c6
Normal,Blitz,300+0,-29,B23,Sicilian Defense: Closed,e4,c5,Nc3,e6,f4,a6,Nf3,b5,g3,Bb7
Normal,Blitz,180+0,-29,A13,English Opening: Agincourt Defense,c4,e6,Nc3,f5,g3,Nf6,Bg2,Bb4,e3,O-O
Normal,Blitz,180+0,-29,B23,Sicilian Defense: Grand Prix Attack,e4,c5,Nc3,Nc6,f4,e6,a4,d6,Nf3,Nge7
Normal,Classical,600+0,-29,A00,Mieses Opening: Reversed Rat,d3,e5,Nf3,Bd6,g3,c6,Bg2,Bc7,O-O,d5
Normal,Blitz,180+0,-29,C00,French Defense: Two Knights Variation,e4,e6,Nf3,d5,Nc3,d4,Ne2,c5,d3,Nf6
Normal,Classical,600+0,-29,D03,"Queen's Pawn Game: Torre Attack,Gossip Variation",d4,Nf6,Nf3,d5,Bg5,Ne4,Bh4,Bf5,Nbd2,Qd7
Normal,Blitz,180+2,-29,B94,Sicilian Defense: Najdorf Variation,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Normal,Blitz,180+0,-29,B90,"Sicilian Defense: Najdorf Variation,English Attack",e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Normal,Blitz,300+0,-29,B53,Sicilian Defense: Chekhover Variation,e4,c5,Nf3,d6,d4,cxd4,Qxd4,a6,c4,Nc6
Normal,Classical,420+11,-29,C41,Philidor Defense #4,e4,e5,Nf3,d6,Bc4,Be7,O-O,Nf6,Nc3,O-O
Normal,Classical,300+5,-29,B52,"Sicilian Defense: Canal Attack,Main Line",e4,c5,Nf3,d6,Bb5,Bd7,a4,a6,Bxd7,Nxd7
Normal,Blitz,180+5,-29,B40,Sicilian Defense: Delayed Alapin Variation,e4,c5,Nf3,e6,c3,a6,d4,d5,exd5,exd5
Normal,Blitz,180+2,-29,B27,Sicilian Defense: Hyperaccelerated Pterodactyl,e4,c5,Nf3,g6,d4,Bg7,Bc4,Nc6,d5,Nd4
Normal,Blitz,180+0,-29,C58,"Italian Game: Two Knights Defense,Polerio Defense,Bishop Check Line",e4,e5,Nf3,Nc6,Bc4,Nf6,Ng5,d5,exd5,Na5
Normal,Blitz,300+0,-29,C50,"Italian Game: Giuoco Pianissimo,Canal Variation",e4,e5,Nf3,Nc6,Bc4,Bc5,Nc3,Nf6,d3,d6
Normal,Blitz,180+0,-29,B32,Sicilian Defense: Loewenthal Variation,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,e5,Nc3,exd4
Normal,Blitz,300+0,-29,C44,"Scotch Game: Scotch Gambit,Goering Gambit Declined",e4,e5,Nf3,Nc6,d4,exd4,c3,d5,e5,dxc3
Normal,Blitz,180+2,-29,C50,Italian Game: Hungarian Defense,e4,e5,Nf3,Nc6,Bc4,Be7,O-O,Nf6,Ng5,O-O
Normal,Blitz,180+0,-29,C60,"Ruy Lopez: Schliemann Defense,Jaenisch Gambit Accepted",e4,e5,Nf3,Nc6,Bb5,f5,exf5,e4,Qe2,Qe7
Normal,Blitz,180+0,-29,B57,"Sicilian Defense: Sozin,not Scheveningen",e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,Nf6,Nc3,d6
Normal,Blitz,180+0,-29,C50,Italian Game: Hungarian Defense,e4,e5,Nf3,Nc6,Bc4,Be7,c3,Nf6,Qe2,d6
Normal,Blitz,300+0,-29,C45,Scotch Game,e4,e5,Nf3,Nc6,d4,exd4,Nxd4,Nxd4,Qxd4,d6
Normal,Classical,300+5,-29,C50,"Italian Game: Giuoco Pianissimo,Normal",e4,e5,Nf3,Nc6,Bc4,Bc5,d3,Nf6,Bg5,O-O
Normal,Classical,900+0,-29,C60,"Ruy Lopez: Schliemann Defense,Jaenisch Gambit Accepted",e4,e5,Nf3,Nc6,Bb5,f5,exf5,e4,Bxc6,dxc6
Normal,Classical,300+8,-29,C55,Italian Game: Anti-Fried Liver Defense,e4,e5,Nf3,Nc6,Bc4,h6,O-O,Be7,d4,Bf6
Normal,Classical,420+3,-29,C65,Ruy Lopez: Berlin Defense #2,e4,e5,Nf3,Nc6,Bb5,Nf6,Bxc6,dxc6,d3,Bc5
Normal,Classical,300+5,-29,C61,Ruy Lopez: Bird Variation,e4,e5,Nf3,Nc6,Bb5,Nd4,Nxd4,exd4,O-O,a6
Normal,Classical,600+3,-29,C50,Four Knights Game: Italian Variation,e4,e5,Nf3,Nc6,Bc4,Nf6,Nc3,Bc5,O-O,Kf8
Normal,Classical,600+0,-29,B32,Sicilian Defense: Nimzo-American Variation,e4,c5,Nf3,Nc6,d4,cxd4,Nxd4,d5,Bb5,Bd7
Normal,Blitz,420+0,-29,B29,"Sicilian Defense: Nimzowitsch Variation,Closed Variation",e4,c5,Nf3,Nf6,Nc3,d5,exd5,Nxd5,Bc4,e6
Time forfeit,Blitz,180+0,-29,A38,"English Opening: Symmetrical Variation,Duchamp Variation",c4,c5,g3,Nc6,Bg2,g6,Nf3,Bg7,O-O,Nf6 
Time forfeit,Classical,720+12,-29,E77,King's Indian Defense: Six Pawns Attack,d4,Nf6,c4,g6,Nc3,d6,e4,Bg7,Bd3,O-O 
Time forfeit,Classical,420+3,-29,A48,London System,d4,Nf6,Nf3,g6,Bf4,Bg7,e3,Nh5,Bg5,c5 
Time forfeit,Blitz,180+0,-29,B21,Sicilian Defense: McDonnell Attack,e4,c5,f4,Nc6,Nf3,e6,Bb5,a6,Bxc6,bxc6 
Time forfeit,Blitz,180+0,-29,C23,Bishop's Opening,e4,e5,Bc4,d6,Nc3,Nc6,f4,Nf6,Nf3,Bg4
Time forfeit,Blitz,300+0,-29,A00,Hungarian Opening: Sicilian Invitation,g3,c5,Bg2,Nc6,e3,d6,Ne2,g6,b3,Bg7
Time forfeit,Blitz,180+0,-29,A45,Trompowsky Attack,d4,Nf6,Bg5,g6,Bxf6,exf6,e4,Bg7,Nf3,d5
Time forfeit,Blitz,300+0,-29,B22,Sicilian Defense: Alapin Variation,e4,c5,c3,b6,d4,Bb7,d5,Nf6,Bd3,c4
Time forfeit,Blitz,180+0,-29,A00,Van't Kruijs Opening,e3,e5,c3,d5,d4,e4,b3,Nf6,c4,c6
Time forfeit,Classical,600+0,-29,A40,Modern Defense,d4,g6,c4,Bg7,Nf3,d6,Nc3,b6,e4,Bb7
Time forfeit,Blitz,180+0,-29,D02,Queen's Pawn Game: Krause Variation,Nf3,d5,d4,c5,e3,Nc6,c3,e6,Bd3,Nf6
Time forfeit,Blitz,180+0,-29,D02,Queen's Pawn Game: London System,Nf3,d5,d4,Nf6,Bf4,c5,c3,Qb6,Qb3,c4
Time forfeit,Blitz,180+0,-29,A43,Benoni Defense: Old Benoni,d4,c5,d5,d6,Nc3,e5,e4,f5,Nf3,Ne7
Time forfeit,Blitz,180+0,-29,B07,Pirc Defense #5,d4,d6,e4,g6,g3,Bg7,Bg2,Nf6,Nc3,O-O
Time forfeit,Blitz,180+1,-29,D55,"Queen's Gambit Declined: Neo-Orthodox Variation,Main Line",d4,e6,Nf3,d5,c4,Nf6,Bg5,Be7,e3,O-O
Time forfeit,Blitz,300+0,-29,B90,Sicilian Defense: Najdorf Variation,e4,c5,Nf3,d6,d4,cxd4,Nxd4,Nf6,Nc3,a6
Time forfeit,Blitz,240+2,-29,C46,Three Knights Opening,e4,e5,Nf3,Nc6,Nc3,Bc5,Bb5,d6,Bxc6,bxc6
Normal,Blitz,180+0,-30,A10,English Opening: Great Snake Variation,c4,g6,Nc3,Bg7,g3,d6,Bg2,Nf6,d3,O-O 
Normal,Blitz,300+0,-30,C18,"French Defense: Winawer Variation,Poisoned Pawn Variation",e4,e6,d4,d5,Nc3,Bb4,e5,c5,a3,Bxc3+ 
Normal,Classical,600+0,-30,D00,Queen's Pawn Game: Chigorin Variation,d4,d5,Nc3,e6,a3,c6,Nf3,Be7,h3,Nd7 
Normal,Blitz,180+0,-30,D02,Queen's Pawn Game: Zukertort Variation,d4,d5,Nf3,c6,Bf4,Nf6,e3,Bf5,Nbd2,e6 
Normal,Blitz,180+0,-30,A45,Indian Game,d4,Nf6,Bf4,d6,e3,Nbd7,Nf3,g6,Bd3,Bg7 
Normal,Blitz,240+0,-30,B61,"Sicilian Defense: Richter-Rauzer Variation,Modern Variation",e4,c5,Nf3,d6,d4,Nf6,Nc3,cxd4,Nxd4,Nc6 
Normal,Blitz,180+0,-30,A51,Indian Game: Budapest Defense,d4,Nf6,c4,e5,dxe5,Bb4+,Bd2,Bxd2,Nxd2,Ng4 
Normal,Blitz,300+0,-30,D35,"Queen's Gambit Declined: Exchange Variation,Positional Variation #2",d4,Nf6,c4,e6,Nc3,d5,cxd5,exd5,Bg5,Be7 
Normal,Blitz,180+0,-30,C65,Ruy Lopez: Berlin Defense #2,e4,e5,Nf3,Nc6,Bb5,Nf6,d3,Bc5,c3,O-O 
Normal,Classical,600+0,-30,B22,Sicilian Defense: Alapin Variation,e4,c5,c3,Nc6,d4,cxd4,cxd4,e6,Nf3,d6 
Normal,Blitz,180+2,-30,B12,"Caro-Kann Defense: Advance Variation,Short Variation",e4,c6,d4,d5,e5,Bf5,Nf3,e6,Be3,Qb6 
Normal,Classical,900+0,-30,B10,Caro-Kann Defense,e4,c6,Nf3,g6,d4,Bg7,c4,d6,Nc3,Bg4 
Normal,Blitz,180+2,-30,A01,Nimzo-Larsen Attack: Symmetrical Variation,b3,b6,Bb2,Bb7,f3,Nf6,e3,e6,g3,Be7
Normal,Blitz,180+0,-30,A45,Indian Game,d4,Nf6,Bf4,c5,d5,d6,Nc3,e5,dxe6,Bxe6
Normal,Blitz,300+0,-30,A45,"Trompowsky Attack: Classical Defense,Big Center Variation",d4,Nf6,Bg5,e6,e4,h6,Bxf6,Qxf6,Nc3,Bb4
Normal,Blitz,180+0,-30,A45,Trompowsky Attack,d4,Nf6,Bg5,Ne4,Bf4,e6,Nd2,Nxd2,Qxd2,d5
Normal,Blitz,180+0,-30,A40,Horwitz Defense,d4,e6,c3,d5,e3,c5,Nf3,cxd4,cxd4,Nc6
Normal,Classical,300+8,-30,B07,Pirc Defense #4,e4,d6,c3,e6,g3,Ne7,Bg2,g6,d4,Bg7
Normal,Blitz,180+0,-30,A40,English Defense,d4,e6,c4,b6,Nf3,Bb7,Nc3,Bb4,Qc2,f5
Normal,Classical,180+10,-30,D44,Semi-Slav Defense: Botvinnik System,d4,d5,c4,c6,Nf3,Nf6,Nc3,e6,Bg5,dxc4
Normal,Classical,300+5,-30,D43,Semi-Slav Defense,d4,d5,c4,c6,Nc3,Nf6,Nf3,e6,Bg5,Be7
Normal,Classical,420+7,-30,A40,Modern Defense,d4,g6,c4,d6,Bf4,Bg7,Nc3,Nc6,Nf3,Nf6
Normal,Blitz,180+0,-30,D20,"Queen's Gambit Accepted: Central Variation,Modern Defense",d4,d5,c4,dxc4,e4,Nc6,Nf3,Bg4,Be3,Nf6
Normal,Blitz,240+0,-30,E20,Nimzo-Indian Defense: Ragozin Variation,d4,Nf6,c4,e6,Nf3,d5,Nc3,Bb4,e3,c6
Normal,Blitz,180+0,-30,D37,Queen's Gambit Declined: Harrwitz Attack,d4,d5,c4,e6,Nf3,Nf6,Bf4,Be7,Nc3,c6
Normal,Blitz,300+0,-30,D35,Queen's Gambit Declined: Exchange Variation,d4,d5,c4,e6,Nc3,Nf6,cxd5,exd5,e4,dxe4
Normal,Blitz,300+0,-30,A84,Dutch Defense: Rubinstein Variation,d4,e6,c4,f5,Nc3,Nf6,g3,d5,cxd5,exd5
Normal,Classical,600+0,-30,A84,Dutch Defense: Rubinstein Variation,d4,e6,c4,f5,Nc3,Nf6,Nf3,Be7,h3,O-O
Normal,Blitz,300+0,-30,A41,Old Indian Defense,d4,d6,c4,f6,Nc3,e5,d5,f5,e4,f4
Normal,Blitz,300+0,-30,E60,"King's Indian Defense: Normal Variation,King's Knight Variation",d4,Nf6,c4,g6,Nf3,Bg7,Bf4,O-O,Qc1,Re8
Normal,Blitz,180+0,-30,B20,Sicilian Defense: Staunton-Cochrane Variation,e4,c5,c4,Nc6,Nc3,g6,d3,Bg7,Be3,b6
Normal,Blitz,180+2,-30,E22,Nimzo-Indian Defense: Spielmann Variation,d4,e6,c4,Nf6,Nc3,Bb4,Qb3,c5,e3,O-O
Normal,Blitz,300+0,-30,A10,English Opening: Anglo-Scandinavian Defense,c4,d5,cxd5,Qxd5,Nc3,Qd7,Nf3,b6,g3,Bb7
Normal,Classical,480+0,-30,A00,Saragossa Opening,c3,d5,d3,e5,e3,c5,Ne2,Nc6,Nd2,f5
Normal,Blitz,300+0,-30,B07,Pirc Defense #4,e4,d6,d3,Nf6,f4,g6,Nf3,Bg7,c3,Nfd7
Normal,Blitz,180+0,-30,B00,Owen Defense,e4,b6,d4,Bb7,d5,e6,c4,exd5,cxd5,Nf6
Normal,Classical,540+0,-30,B21,Sicilian Defense: Smith-Morra Gambit,e4,c5,d4,cxd4,c3,dxc3,Nxc3,a6,Bc4,e6
Normal,Blitz,300+2,-30,C02,"French Defense: Advance Variation,Wade Variation",e4,e6,d4,d5,e5,c5,c3,Qb6,Nf3,Bd7
Normal,Blitz,180+2,-30,C05,"French Defense: Tarrasch Variation,Closed Variation #2",e4,e6,d4,d5,Nd2,Nf6,e5,Nfd7,c3,c5
Normal,Blitz,300+0,-30,C06,"French Defense: Tarrasch Variation,Closed Variation,Main Line",e4,e6,d4,d5,Nd2,Nf6,e5,Nfd7,Bd3,c5
Normal,Blitz,180+0,-30,B12,"Caro-Kann Defense: Advance Variation,Botvinnik-Carls Defense",e4,c6,d4,d5,e5,c5,dxc5,e6,c4,Bxc5
Normal,Blitz,300+4,-30,C18,"French Defense: Winawer Variation,Classical Variation",e4,e6,d4,d5,Nc3,Bb4,a3,Bxc3,bxc3,c5
Normal,Classical,600+0,-30,C01,"French Defense: Winawer Variation,Delayed Exchange Variation",e4,e6,d4,d5,Nc3,Bb4,exd5,exd5,Nf3,Nf6
Normal,Classical,300+5,-30,C03,"French Defense: Tarrasch Variation,Haberditz Variation",e4,e6,d4,d5,Nd2,f5,exf5,exf5,Ndf3,Nf6
Normal,Classical,600+0,-30,E70,King's Indian Defense: Accelerated Averbakh Variation,c4,Nf6,d4,d6,Nc3,g6,e4,Bg7,Bg5,Nbd7
Normal,Blitz,300+3,-30,A40,"Englund Gambit Declined,Reversed French",e3,e5,d4,exd4,exd4,Nf6,c4,d6,Nc3,Be7
Normal,Blitz,180+0,-30,B21,Sicilian Defense: Smith-Morra Gambit #2,e4,c5,d4,g6,dxc5,Bg7,c3,Qc7,Be3,Nf6
Normal,Classical,600+0,-30,D02,Queen's Pawn Game: London System,Nf3,d5,d4,Nf6,Bf4,e6,e3,Be7,Bd3,O-O
Normal,Blitz,300+2,-30,A43,Benoni Defense: Old Benoni,d4,c5,d5,d6,e4,Bd7,f4,a6,a4,e5
Normal,Blitz,180+0,-30,A45,Indian Game,d4,Nf6,e3,g6,f4,Bg7,c3,d6,Nf3,Nbd7
Normal,Blitz,180+0,-30,C20,King's Pawn Game: Macleod Attack,c3,e5,e4,c5,d4,exd4,cxd4,cxd4,Qxd4,Nc6
Normal,Blitz,180+0,-30,B07,Pirc Defense #5,d4,d6,e4,c6,Bc4,Qc7,Qh5,g6,Qf3,Nf6
Normal,Blitz,300+0,-30,B03,Alekhine Defense,e4,Nf6,e5,Nd5,d4,d6,f4,dxe5,fxe5,Nc6
Normal,Blitz,180+2,-30,B01,Scandinavian Defense: Mieses-Kotroc Variation,e4,d5,exd5,Qxd5,Nf3,Bg4,Be2,Nf6,O-O,e6
Normal,Blitz,180+0,-30,B01,Scandinavian Defense: Gubinsky-Melts Defense,e4,d5,exd5,Qxd5,Nc3,Qd6,g3,Nf6,Bg2,c6
Normal,Classical,600+0,-30,C30,"King's Gambit Declined,Classical Variation",e4,e5,f4,Bc5,Nf3,Nc6,fxe5,Nxe5,d4,Nxf3+
Normal,Blitz,180+0,-30,A03,Bird Opening: Dutch Variation,f4,d5,g3,c5,Bg2,Nc6,c4,d4,Nf3,Nf6
Normal,Blitz,300+0,-30,A90,"Dutch Defense: Stonewall Variation,Modern Variation",d4,f5,g3,Nf6,Bg2,e6,Nf3,d5,O-O,c6
Normal,Blitz,180+0,-30,B00,Owen Defense,e4,b6,Nc3,Bb7,d4,e6,a3,c5,Be3,cxd4
Normal,Blitz,180+0,-30,C26,"Vienna Game: Stanley Variation,Reversed Spanish",e4,Nf6,Nc3,e5,Bc4,Bb4,Nge2,c6,a3,Ba5
