result,play,increment_code,rating_adv,ECO,opening_ply,first_move,second_move,third_move,fourth_move,fifth_move,sixth_move,seventh_move,eighth_move,ninth_move,tenth_move
Normal,Classical,1800+0,38,E43,Nimzo-Indian Defense: St. Petersburg Variation,d4,Nf6,c4,e6,Nc3,Bb4,e3,b6,Bd3,d5 
Normal,Blitz,180+2,38,D12,"Slav Defense: Quiet Variation,Schallopp Defense",d4,d5,c4,c6,Nf3,Nf6,e3,Bf5,Nc3,e6 
Normal,Blitz,300+0,38,B22,Sicilian Defense: Alapin Variation,e4,c5,c3,b6,d4,Bb7,d5,Nf6,Bd3,g6 
Normal,Classical,900+0,38,D13,Slav Defense: Exchange Variation,d4,d5,c4,c6,cxd5,cxd5,Nf3,Nf6,Nc3,Nc6 
Normal,Blitz,180+0,38,B20,Sicilian Defense: Staunton-Cochrane Variation,e4,c5,c4,Nf6,Nc3,e5,d3,Be7,f4,exf4 
Normal,Blitz,300+0,38,A45,Indian Game,d4,Nf6,a3,a5,c4,e5,d5,Bc5,Nc3,h6
Normal,Classical,600+0,38,A03,Bird Opening: Dutch Variation,f4,d5,b3,c5,e3,Nc6,Bb5,Bd7,Bb2,a6
Normal,Blitz,180+0,38,B20,Sicilian Defense: Snyder Variation,e4,c5,b3,e6,Bb2,d5,exd5,exd5,d4,Nc6
Normal,Blitz,300+0,38,B07,Pirc Defense #4,e4,d6,b3,Nf6,f3,g6,Bb2,Bg7,Bc4,O-O
Normal,Blitz,180+0,38,B20,Sicilian Defense: Wing Gambit,e4,c5,b4,Nc6,b5,Nd4,c3,Ne6,d4,d5
Normal,Classical,600+0,38,C20,Bishop's Opening: Boi Variation,e4,e5,Bc4,Bc5,Ne2,Nc6,Nbc3,d6,d3,Nf6
Normal,Classical,600+0,38,C23,Bishop's Opening: Philidor Counterattack,e4,e5,Bc4,c6,Nf3,Qf6,Nc3,d6,d4,h6
Normal,Classical,480+0,38,C41,Philidor Defense #3,e4,e5,Bc4,d6,Nf3,Nc6,c3,Be7,h3,Nf6
Normal,Blitz,180+0,38,A40,Queen's Pawn,d4,c6,Bf4,d5,e3,Nf6,Nc3,Bg4,Be2,Bxe2
Normal,Blitz,180+0,38,A43,Old Benoni Defense,d4,c5,c3,d5,Nf3,Nc6,Bf4,e6,e3,Bd6
Normal,Blitz,180+0,38,A58,Benko Gambit: Zaitsev System,d4,Nf6,c4,a6,Nc3,c5,d5,b5,cxb5,axb5
Normal,Blitz,300+0,38,D10,Slav Defense: Winawer Countergambit,d4,d5,c4,c6,Nc3,e5,cxd5,cxd5,e4,dxe4
